company_id,company_name,year,industry,region,revenue,net_profit,total_assets,total_liabilities,equity,operating_cash_flow,roe,roa,debt_to_equity_ratio,profit_margin,anomaly_label,credit_rating,audit_opinion,fraud_risk_score,g_index,esg_score,stock_volatility,market_cap,ownership_type,risk_category,audit_firm,financial_health_index
SH969694,Haier Precision Ltd.,2022,Manufacturing,Sichuan,10842.32,1941.9,16828.6,6075.45,10753.149999999998,1938.15,18.06,11.54,0.56,17.91,0,A,Qualified,0.37,1,61,0.18,32356.57,Private,Low,Big4,0.15
SH319685,Guangzhou Pharma Group,2022,Pharmaceuticals,Hebei,10645.28,522.59,15085.21,10776.4,4308.8099999999995,492.65,12.13,3.46,2.5,4.91,0,BBB,Standard,0.18,2,61,0.33,28095.09,Private,Low,Local Tier 1,0.08
SZ694732,Sinopec Green Energy,2022,Energy,Sichuan,8993.79,2226.45,13173.37,4370.65,8802.720000000001,2058.11,25.29,16.9,0.5,24.76,0,AA,Standard,0.74,8,63,0.36,21973.57,Private,High,Local Tier 2,0.21
SZ358608,Guangzhou Pharma Group,2022,Pharmaceuticals,Hebei,5305.38,1238.7,8370.68,3011.75,5358.93,1344.36,23.11,14.8,0.56,23.35,0,BBB,Standard,0.56,10,42,0.57,11651.27,SOE,Medium,Local Tier 1,0.19
SZ245052,CRRC Urban Transit,2021,Transportation,Jiangsu,9084.19,2759.81,16503.92,9025.96,7477.959999999999,2784.91,36.91,16.72,1.21,30.38,0,AAA,Standard,0.42,2,57,0.25,28162.58,Private,Medium,Local Tier 1,0.27
SZ930556,Beijing Life Sciences Inc.,2022,Pharmaceuticals,Zhejiang,7817.41,63.52,12561.46,9468.62,3092.8399999999983,57.15,2.05,0.51,3.06,0.81,0,A,Standard,0.71,10,76,0.08,23760.57,Private,High,Local Tier 1,0.01
SZ842226,ICBC Capital Group,2022,Financial Services,Beijing,9760.57,3602.1,12417.71,8911.59,3506.119999999999,3343.87,102.74,29.01,2.54,36.9,0,AA,Adverse,0.84,6,69,0.06,16825.3,SOE,High,Local Tier 1,0.66
SZ392005,Haier Precision Ltd.,2022,Manufacturing,Jiangsu,10620.77,1602.83,14669.37,9132.95,5536.42,1394.06,28.95,10.93,1.65,15.09,0,AA,Standard,0.43,10,75,0.02,25710.53,Private,Medium,Local Tier 2,0.2
SZ153046,China National Steel Corp.,2022,Manufacturing,Beijing,11651.21,2011.33,14067.18,4933.86,9133.32,2142.87,22.02,14.3,0.54,17.26,0,C,Adverse,0.67,4,34,0.5,27344.46,SOE,Medium,Local Tier 1,0.18
SZ171850,Huawei Digital Ltd.,2021,Technology,Shanghai,7281.22,1972.76,11665.31,6864.47,4800.839999999999,1966.86,41.09,16.91,1.43,27.09,0,BBB,Standard,0.61,2,83,0.29,19743.77,Private,Medium,Local Tier 1,0.29
SZ580548,JD Global Mall,2021,Retail & E-commerce,Shanghai,8642.28,219.74,16843.15,10914.61,5928.540000000001,225.9,3.71,1.3,1.84,2.54,0,AAA,Standard,0.55,5,66,0.15,21215.78,SOE,Medium,Local Tier 1,0.03
SZ178899,COFCO AgroTech Ltd.,2022,Agriculture,Shenzhen,6584.2,1704.62,8570.31,4808.99,3761.3199999999997,1888.71,45.32,19.89,1.28,25.89,0,A,Qualified,0.61,10,73,0.07,11131.25,Private,Medium,Local Tier 1,0.33
SZ503907,Alibaba Commerce Ltd.,2021,Retail & E-commerce,Guangdong,12323.82,79.04,19749.03,14382.13,5366.9,84.06,1.47,0.4,2.68,0.64,0,AA,Qualified,0.46,1,61,0.12,35970.92,Private,Medium,Local Tier 1,0.01
SZ540870,COFCO AgroTech Ltd.,2022,Agriculture,Zhejiang,8622.79,2056.53,10507.88,7431.53,3076.3499999999995,1877.08,66.85,19.57,2.42,23.85,0,BBB,Adverse,0.41,10,70,0.24,20816.03,SOE,Medium,Big4,0.43
SZ943171,China Southern Logistics,2022,Transportation,Jiangsu,6160.72,2102.23,9603.06,4288.78,5314.28,1958.16,39.56,21.89,0.81,34.12,0,AAA,Standard,0.71,2,59,0.16,12054.85,Private,High,Local Tier 1,0.31
SH800006,Evergrande Property Dev.,2021,Real Estate,Sichuan,11474.33,2629.53,21035.47,14615.64,6419.830000000002,2199.56,40.96,12.5,2.28,22.92,0,C,Adverse,0.36,10,53,0.18,39717.75,Private,Low,Local Tier 1,0.27
SH266890,China Grain Supply Chain,2022,Agriculture,Jiangsu,7973.55,-470.45,15230.78,7241.59,7989.1900000000005,-398.39,-5.89,-3.09,0.91,-5.9,1,A,Qualified,1.0,5,38,0.47,29496.98,Foreign JV,High,Local Tier 1,-0.04
SH446955,China National Steel Corp.,2021,Manufacturing,Jiangsu,3655.75,33.83,6764.01,5232.8,1531.21,40.41,2.21,0.5,3.42,0.93,0,A,Standard,0.37,7,77,0.12,12191.72,SOE,Low,Local Tier 2,0.01
SZ998349,Didi Mobility Systems,2021,Transportation,Zhejiang,12080.33,-648.81,23255.64,8269.68,14985.96,-646.9,-4.33,-2.79,0.55,-5.37,1,A,Adverse,1.0,5,61,0.33,28493.18,SOE,High,Local Tier 2,-0.04
SZ885409,China National Steel Corp.,2021,Manufacturing,Beijing,14569.41,1007.77,20716.32,8163.49,12552.83,993.14,8.03,4.86,0.65,6.92,0,C,Standard,0.71,2,48,0.26,38743.82,SOE,High,Local Tier 1,0.06
SZ179689,Didi Mobility Systems,2021,Transportation,Guangdong,7656.38,2096.18,11728.47,5121.86,6606.61,1724.21,31.73,17.87,0.78,27.38,0,AAA,Qualified,0.55,10,82,0.45,20813.88,Private,Medium,Local Tier 2,0.25
SZ464070,Haier Precision Ltd.,2021,Manufacturing,Zhejiang,8907.04,2686.57,17420.5,12626.79,4793.709999999999,2415.06,56.04,15.42,2.63,30.16,0,BBB,Standard,0.56,6,75,0.18,34442.2,SOE,Medium,Local Tier 2,0.36
SH745831,China Southern Logistics,2021,Transportation,Jiangsu,12624.11,848.48,21931.34,12284.92,9646.42,940.9,8.8,3.87,1.27,6.72,0,A,Qualified,0.44,10,51,0.42,38906.96,Private,Medium,Local Tier 1,0.06
SH777279,COFCO AgroTech Ltd.,2022,Agriculture,Jiangsu,1487.4,150.72,2525.11,1846.31,678.8000000000002,177.82,22.2,5.97,2.72,10.13,0,A,Standard,0.77,5,71,0.14,4486.97,Private,High,Local Tier 1,0.14
SZ421081,Bank of China Trust,2022,Financial Services,Sichuan,2889.85,417.43,4529.29,3578.21,951.0799999999999,416.2,43.89,9.22,3.76,14.44,0,A,Standard,0.72,7,69,0.14,5452.31,Private,High,Local Tier 2,0.27
SZ157175,Guangzhou Pharma Group,2021,Pharmaceuticals,Hebei,7678.91,356.88,10482.23,5053.85,5428.379999999999,357.37,6.57,3.4,0.93,4.65,0,BBB,Standard,0.48,8,49,0.79,19068.93,Private,Medium,Big4,0.05
SH723949,ZTE Semicon Co.,2022,Technology,Hebei,10823.85,1653.55,15042.79,5278.38,9764.41,1423.94,16.93,10.99,0.54,15.28,0,A,Standard,0.53,5,64,0.13,18859.03,SOE,Medium,Local Tier 1,0.14
SZ340045,Sinopec Green Energy,2022,Energy,Beijing,10053.93,1900.45,19026.11,13480.68,5545.43,1716.41,34.27,9.99,2.43,18.9,0,C,Standard,0.48,5,67,0.29,28844.38,Private,Medium,Local Tier 1,0.22
SH644174,ZTE Semicon Co.,2022,Technology,Jiangsu,9502.75,496.47,18468.6,10681.9,7786.699999999999,510.69,6.38,2.69,1.37,5.22,0,B,Standard,0.69,10,80,0.14,30643.07,SOE,Medium,Local Tier 1,0.05
